"STATION","NAME","LATITUDE","LONGITUDE","ELEVATION","DATE","PRCP","SNOW","SNWD","TMAX","TMIN","TOBS"
"USC00046174","NEW MELONES DAM HQ, CA US","38.0047","-120.4863","292.6","1992-09-12","0.00","0.0","0.0","87","51","54"
"USC00046174","NEW MELONES DAM HQ, CA US","38.0047","-120.4863","292.6","1992-09-13","0.00","0.0","0.0","89","50","59"
"USC00046174","NEW MELONES DAM HQ, CA US","38.0047","-120.4863","292.6","1992-09-14","0.00","0.0","0.0","89","55","60"
"USC00046174","NEW MELONES DAM HQ, CA US","38.0047","-120.4863","292.6","1992-09-15","0.00","0.0","0.0","89","52","59"
"USC00046174","NEW MELONES DAM HQ, CA US","38.0047","-120.4863","292.6","1992-09-16","0.00","0.0","0.0","91","53","55"
"USC00046174","NEW MELONES DAM HQ, CA US","38.0047","-120.4863","292.6","1992-09-17","0.00","0.0","0.0","92","54","57"
"USC00046174","NEW MELONES DAM HQ, CA US","38.0047","-120.4863","292.6","1992-09-18","0.00","0.0","0.0","92","55","56"
"USC00046174","NEW MELONES DAM HQ, CA US","38.0047","-120.4863","292.6","1992-09-19","0.00","0.0","0.0","92","56","64"
"USC00046174","NEW MELONES DAM HQ, CA US","38.0047","-120.4863","292.6","1992-09-20","0.00","0.0","0.0","95","60","70"
"USC00046174","NEW MELONES DAM HQ, CA US","38.0047","-120.4863","292.6","1992-09-21","0.00","0.0","0.0","91","58","66"
"USC00046174","NEW MELONES DAM HQ, CA US","38.0047","-120.4863","292.6","1992-09-22","0.00","0.0","0.0","99","63","69"
